Kartenverteilen;Spiele zur Gruppeneinteilung ;6-30 Spieler*Innen;6;Ein Kartenspiel;"Jeder Mitspieler zieht eine Karte. Je nach gewünschter Gruppengröße gibt es folgende Möglichkeiten zur Gruppeneinteilung:
•Rote Karten/schwarze Karten bilden jeweils eine Gruppe
•Alle Karos/Piks/Herzen/Kreuze bilden eine Gruppe
•Alle Siebener, Achter, Neuner, etc. bilden eine Gruppe

Wichtig: vorher die Karten auf die Gesamtgruppengröße anpassen, so dass das Prinzip Zufall keine Chance mehr hat 
"
Atomspiel;Spiele zur Gruppeneinteilung ;8-50 Spieler*Innen;6;Evtl. Musikanlage, mehrere Decken zum drauf legen;"Die Spieler bewegen sich über die Spielfläche undsind freie Atome. Der Spielleiter ruft eine Atomanzahl. Genau diese Anzahl an Atomen muss sich zu Molekülen verbinden. Die gerufene Zahl bestimmt die Gruppengröße für das nächste Spiel.

Variation:
 Die Gruppen sollen sich immer unter unterschiedlich vielen Decken verstecken. Dabei sollte unter jeder Decke die gleiche Anzahl an Spielern stehen. "
Familie Meyer;Spiele zur Gruppeneinteilung ;6-30 Spieler*Innen;8;Vorbereitet Zettel mit Namen;"Jeder Spieler erhält einen Zettel. Anschließend müssen sich möglichst schnell die Gruppen bilden. Eine Gruppe bilden jeweils die Personen, die den gleichen Begriff aufdem Zettel stehen haben. Die Spieler rufendazu nach dem Startsignal alle den Namen und versuchen so die anderen passenden Gruppenmitglieder zu finden.    So weit, so einfach. Das schwierige daran: die Namen der Gruppen lauten 
•Familie Maier   
• Familie Meier  
•Familie Mayer   
• Familie Meyer 
 •Familie Mair   
"
Fäden ziehen;Spiele zur Gruppeneinteilung;10 –40 Spieler*Innen;6;Je nach TN Zahl Fäden aus dem gleichen Material (ca. 0,5m lang);Der Spielleiter hält ein Büschel mit Fäden in einer Hand in der Mitte hoch. Jeder TN soll sich ein Ende greifen und nicht mehr loslassen. Beim Entwirren des Wollknäuels wird er am anderen Ende auf einen Partner stoßen.
Überraschungseier;Spiele zur Gruppeneinteilung;10 –40 Spieler*Innen;6;für jeden TN eine Kapsel aus dem Überraschungsei, gefüllt mit verschiedenen Materialien;Der Spielleiter präpariert vorher diverse Kapseln aus dem Überraschungsei. In den Dosen sind verschiedene Gegenstände (z.B. Reis, Erbsen, Sand, Mehl, etc.).  Jeder TN bekommt eine Dose und versucht die anderen mit den gleichen Inhalten in den Eiern zu finden (natürlich nur durchschütteln und nicht durch hineinsehen). Zum Schluss darf überprüft werden, ob es auch stimmt.
Marktplatz;Spiele zur Gruppeneinteilung;10 –40 Spieler*Innen;6;verschiedene Gegenstände in mehrfacher Ausführung;Für jede Gruppe die benötigt wird, braucht man einen Gegenstand in so vielen Ausführungen wie TN da sein sollen (z.B. 5 Gabeln, 5 Löffel, etc. oder 3 Bleistifte, 3 Kugelschreiber, etc.). Jeder TN erhält erst einmal einen Gegenstand, eswird Musik gespielt. Während der Musik werden die Gegenstände wahllos getauscht. Hört die Musik auf, müssen sich die Gruppen je nach Gegenstand finden(also alle Löffel, alle Kulis,...).
Besuch im Zoo;Spiele zur Gruppeneinteilung;10 –40 Spieler*Innen;6;Vorbereitete Tierkarten;Der Spielleiter bereitet verschiedene Karten mit Tieren vor. Jeder TN bekommt eine Karte, die er noch geheim halten muss. Auf Kommando laufen alle durch den Raum. Immer wenn sich zwei begegnen, begrüßen sie sich in ihrer Tier sprache. So sollen „Gleichgesinnte“ gesucht werden (sprich: alle Kühe bildeneine Gruppe, alle Elefanten, etc.)
Bonbons/ Gummibärchen ziehen;Spiele zur Gruppeneinteilung;10 –99 Spieler*Innen;6;Kein Material nötig;Es werden vorher genügend Gummibärchen oder Bonbons bestimmter Farben/Sorten herausgesucht, so dass jeder nur einen ziehen braucht und dann sich so in Gruppen einteilt
Schuheinteilung;Spiele zur Gruppeneinteilung;10 -99 Spieler*Innen;6;Kein Material nötig;Jeder zieht einen Schuh aus und legt ihn in die Mitte auf einen Haufen. Dann werden blind Schuhe (je nachdem wie groß die Gruppen sein sollen) gezogen. Jeder ordnet sich dann seinem Schuhwieder zu. 
Daumen oben;Spiele zur Gruppeneinteilung;10 -20 Spieler*Innen;6;Kein Material nötig;Jeder*e soll seinen/ihrer Hände falten  
